ano;cnae_2_descricao_secao;salario_medio;variable
2009;Organismos Internacionais E Outras Instituições Extraterritoriais;627.7142857142857;Demissões
2009;Outras Atividades De Serviços;929.6163157894737;Demissões
2009;Saúde Humana E Serviços Sociais;889.5818330134357;Demissões
2009;Serviços Domésticos;505.0;Demissões
2009;Transporte, Armazenagem E Correio;849.746268246245;Demissões
2009;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;921.2313333333334;Demissões
2010;Administração Pública, Defesa E Seguridade Social;565.7856160810188;Demissões
2010;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;516.125;Demissões
2010;Alojamento E Alimentação;718.2359698212716;Demissões
2010;Artes, Cultura, Esporte E Recreação;469.9485365853659;Demissões
2010;Atividades Administrativas E Serviços Complementares;757.5231695568401;Demissões
2010;Atividades Financeiras, De Seguros E Serviços Relacionados;2097.4246051660516;Demissões
2010;Atividades Imobiliárias;828.2266666666667;Demissões
2010;Atividades Profissionais, Científicas E Técnicas;987.3672424979725;Demissões
2010;"Comércio; Reparação De Veículos Automotores E Motocicletas";825.8640640513968;Demissões
2010;Construção;794.6872349683545;Demissões
2010;Educação;1099.7918504435995;Demissões
2010;Eletricidade E Gás;3563.0;Demissões
2010;Indústrias De Transformação;1297.654813428018;Demissões
2010;Informação E Comunicação;1125.8461183059153;Demissões
2010;Organismos Internacionais E Outras Instituições Extraterritoriais;732.9375;Demissões
2010;Outras Atividades De Serviços;889.9049273959342;Demissões
2010;Saúde Humana E Serviços Sociais;884.8789180327869;Demissões
2010;Serviços Domésticos;548.3333333333334;Demissões
2010;Transporte, Armazenagem E Correio;931.9350709426628;Demissões
2010;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;1111.7941176470588;Demissões
2011;Administração Pública, Defesa E Seguridade Social;751.2801143074871;Demissões
2011;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;417.973125;Demissões
2011;Alojamento E Alimentação;781.6386595030222;Demissões
